AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
60:3D:26:74:C4:5C,CGA4131COM,8630 GERMANTOWN AVE,FL 1 OFC BUS 2,Philadelphia,PA,19118,40.077038,-75.20876,Freedom,Chestnut Hill,Secondary,N/A
60:3D:26:75:3B:A8,CGA4131COM,1220 CATHARINE ST,UNIT HBB,Philadelphia,PA,19147,39.940273,-75.16312,Freedom,South St Zone 1,Secondary,N/A
60:3D:26:75:52:14,CGA4131COM,822 PINE ST,STE LL1 OFC ADDTNL BSNSS,Philadelphia,PA,19107,39.94415,-75.156105,Freedom,South St Zone 1,Secondary,N/A
60:3D:26:75:76:54,CGA4131COM,744 S 9TH ST,UNIT A,Philadelphia,PA,19147,39.94046,-75.15772,Freedom,South St Zone 1,Secondary,N/A
60:3D:26:75:E1:C0,CGA4131COM,200 E HARTWELL LN,OFC LAB UNIT BUS2,Philadelphia,PA,19118,40.074886,-75.20093,Freedom,Chestnut Hill,Secondary,N/A
60:3D:26:75:E3:50,CGA4131COM,23 E ALLEN ST,,Philadelphia,PA,19123,39.965763,-75.135925,Freedom,Fishtown,Secondary,N/A
60:3D:26:75:E5:30,CGA4131COM,916 CHRISTIAN ST,,Philadelphia,PA,19147,39.939083,-75.158585,Freedom,South St Zone 1,Secondary,N/A
60:3D:26:76:DF:94,CGA4131COM,749 S 8TH ST,OFC,Philadelphia,PA,19147,39.94003,-75.15584,Freedom,South St Zone 1,Secondary,N/A
60:3D:26:78:04:B4,CGA4131COM,100 E GIRARD AVE,,Philadelphia,PA,19125,39.96862,-75.13419,Freedom,Fishtown,Primary,N/A
68:EE:96:DA:A3:79,DPC3939B,808 S HUTCHINSON ST,OFC,Philadelphia,PA,19147,39.939617,-75.158745,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:DC:64:84,DPC3939B,8623 GERMANTOWN AVE,OFC,Philadelphia,PA,19118,40.07702,-75.20817,Freedom,Chestnut Hill,Primary,N/A
68:EE:96:DD:0D:E4,DPC3939B,5775 RT 202 RTE,,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
68:EE:96:DE:34:58,DPC3939B,1118 SPRUCE ST,UNIT UTIL,Philadelphia,PA,19107,39.946198,-75.160484,Freedom,South St Zone 1,Secondary,N/A
